Name,Current Price,Old Price,URL
Gold and silver - Tray Set 2 Pcs - Gold,"LE 1,450.00","LE 1,450.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-pcs-gold-2
Gold and silver - Tray Set 2 Pcs - Gold,"LE 1,690.00","LE 1,690.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-pcs-gold-1
Gold and silver - Tray Set 2 Pcs - Gold,"LE 1,330.00","LE 1,330.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-pcs-gold
Degwana - Glass Vase - Black - 13x30cm,LE 755.00,LE 755.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-13x30cm
Degwana - Glass Vase - Black - 25x20cm,LE 690.00,LE 690.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-25x20cm
Degwana - Glass Vase - Black - 17x34cm,LE 860.00,LE 860.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-17x34cm
Degwana - Glass Vase - Black - 24x28cm,LE 920.00,LE 920.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-24x28cm
Degwana - Glass Vase - Black - 18x34cm,LE 965.00,LE 965.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-18x34cm
Degwana - Glass Vase - Black - 18x28cm,LE 860.00,LE 860.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-18x28cm
Degwana - Glass Vase - Black - 15x20cm,LE 690.00,LE 690.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-15x20cm
Degwana - Glass Vase - Black - 18x25cm,LE 945.00,LE 945.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-18x25cm-1
Degwana - Glass Vase - Black - 14x30cm,LE 565.00,LE 565.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-14x30cm
Degwana - Glass Vase - Black - 13x25cm,LE 540.00,LE 540.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-13x25cm
Degwana - Glass Vase - Black - 12x20cm,LE 735.00,LE 735.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-12x20cm
Degwana - Glass Vase - Black - 13x28cm,LE 905.00,LE 905.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-13x28cm
Degwana - Glass Vase - Black - 28x17 cm,LE 645.00,LE 645.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-cm
Degwana - Glass Vase - Clear - 16x33cm,LE 905.00,LE 905.00,https://sheffieldegypt.com/products/degwana-glass-vase-clear-16x33cm
Degwana - Glass Vase - clear - 17x26cm,LE 690.00,LE 690.00,https://sheffieldegypt.com/products/degwana-glass-vase-clear-17x26cm
Degwana - Glass Vase - Black - 10x30cm,LE 565.00,LE 565.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-10x30cm-1
Degwana - Glass Vase - Black - 15x22cm,LE 735.00,LE 735.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-15x22cm
Degwana - Glass Vase - Black - 18x25cm,LE 905.00,LE 905.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-18x25cm
Degwana - Glass Vase - Black - 17x21cm,LE 580.00,LE 580.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-17x21cm
Degwana - Glass Vase - Black - 10x30cm,LE 670.00,LE 670.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-10x30cm
Degwana - Glass Vase - Black -24x9cm,LE 565.00,LE 565.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-14x25cm-1
Degwana - Glass Vase - Black - 19x26cm,LE 755.00,LE 755.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-19x26cm
Degwana - Glass Vase - Black - 20x25cm,LE 860.00,LE 860.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-20x25cm
Degwana - Glass Vase - Black - 17x20cm,LE 645.00,LE 645.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-17x20cm
Degwana - Glass Vase - Black - 14x25cm,LE 800.00,LE 800.00,https://sheffieldegypt.com/products/degwana-glass-vase-black-14x25cm
RCR - Etna Flute Set 6 Pcs - Gold - 190 ml,"LE 2,025.00","LE 2,025.00",https://sheffieldegypt.com/products/rcr-etna-flute-set-6-pcs-gold-190-ml
RCR - Brillante Flute Glass Set 6 Pcs - Gold - 180ml,"LE 2,025.00","LE 2,025.00",https://sheffieldegypt.com/products/rcr-brillante-flute-glass-set-6-pcs-gold-180ml
RCR - Brillante Goblet Glass Set 6 Pcs - Silver - 220ml,"LE 2,025.00","LE 2,025.00",https://sheffieldegypt.com/products/rcr-brillante-goblet-glass-set-6-pcs-silver-220ml
RCR - Brillante Flute Glass Set 6 Pcs - Silver - 180ml,"LE 2,025.00","LE 2,025.00",https://sheffieldegypt.com/products/rcr-brillante-flute-glass-set-6-pcs-silver-180ml
Bohemia Crystal - Tumbler Glass Set 6 Pcs - Silver - 280ml,"LE 2,700.00","LE 2,700.00",https://sheffieldegypt.com/products/bohemia-crystal-tumbler-glass-set-6-pcs-silver-280ml
Bohemia Crystal - Highball Glass Set 6 Pcs - Silver - 300ml,"LE 2,700.00","LE 2,700.00",https://sheffieldegypt.com/products/bohemia-crystal-highball-glass-set-6-pcs-silver-300ml
Bohemia Crystal - Flute Glass Set 6 Pcs - Silver - 150ml,"LE 2,700.00","LE 2,700.00",https://sheffieldegypt.com/products/bohemia-crystal-flute-glass-set-6-pcs-silver-150ml-1
Bohemia Crystal - Tumbler Glass Set 6 Pcs - Gold - 280ml,"LE 2,700.00","LE 2,700.00",https://sheffieldegypt.com/products/bohemia-crystal-tumbler-glass-set-6-pcs-gold-280ml
Bohemia Crystal - Highball Glass Set 6 Pcs - Gold  - 300ml,"LE 2,700.00","LE 2,700.00",https://sheffieldegypt.com/products/bohemia-crystal-highball-glass-set-6-pcs-gold-300ml
Bohemia Crystal - Goblet Glass Set 6 Pcs - Gold - 200ml,"LE 2,700.00","LE 2,700.00",https://sheffieldegypt.com/products/bohemia-crystal-goblet-glass-set-6-pcs-gold-200ml
Bohemia Crystal - Drink Set 7 Pcs - Gold - 650&230ml,"LE 5,395.00","LE 5,395.00",https://sheffieldegypt.com/products/bohemia-crystal-drink-set-7-pcs-gold-650-230ml
Bohemia Crystal - Diamond Tumbler Drink Set 7 Pieces - Grey & Silver,"LE 5,670.00","LE 5,670.00",https://sheffieldegypt.com/products/bohemia-crystal-diamond-tumbler-drink-set-grey-silver-7-pieces
Bohemia Crystal - Diamond Highball Set 6 Pcs - Silver & Grey - 260 ml,"LE 2,655.00","LE 2,655.00",https://sheffieldegypt.com/products/bohemia-crystal-diamond-highball-set-6-pcs-silver-grey-260-ml
Borcam - Round Glass Food Warmer With Stand - Silver - 2.95 Lit,LE 980.00,LE 980.00,https://sheffieldegypt.com/products/borcam-round-glass-food-warmer-with-stand-silver-2-95-lit
Pasabahce - Highball & Tumbler Glass Set 12 Pieces - Silver - 290ml & 250ml,"LE 1,315.00","LE 1,315.00",https://sheffieldegypt.com/products/pasabahce-highball-tumbler-glass-set-12-pieces-silver-290ml-250ml
RCR - Aurea Highball Glass Set 6 Pcs - 370ml -  Purple & Gold,"LE 2,825.00","LE 2,825.00",https://sheffieldegypt.com/products/rcr-aurea-highball-glass-set-6-pcs-370ml-purple-gold
RCR - Adagio Highball Set 6 Pcs - 370ml -Gold,"LE 1,935.00","LE 1,935.00",https://sheffieldegypt.com/products/rcr-adagio-highball-set-6-pcs-370ml-gold
RCR - Laurus Highball Set 6 Pcs -370ml - Gold,"LE 1,935.00","LE 1,935.00",https://sheffieldegypt.com/products/rcr-laurus-highball-set-6-pcs-370ml-gold
RCR - Marilyn Tumbler Set 6 Pcs - 310ml - Gold Rim,"LE 1,935.00","LE 1,935.00",https://sheffieldegypt.com/products/rcr-marilyn-tumbler-set-6-pcs-310ml-gold-rim
